identificacion_expediente,fecha_ingreso,area_emisora,genero_solicitante,referencia_expediente,area_responsable_respuesta,sintesis_respuesta,nombre_cargo_firmante_respuesta,fecha_respuesta
EX-2020-78133820-APN-DNAIP#AAIP,2020-11-13,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Cantidad de transferencias registradas de automotores, maquinarias y motovehículos de titulares con residencia en el municipio de Crespo, departamento Paraná, provincia de Entre Ríos . Año 2018",,Se notifico por TAD la NO-2020-78296455-APN-DGDYD#MJ con lo informado DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el IF-2019- 84420039-APNDNRNPACP#MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-11-13
EX-2020-78314732-APN-DNAIP#AAIP,2020-11-13,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Quisiera hacer una nota periodística sobre qué porcentaje de niños y adolescentes padecen ciberacoso y bullying cibernético, teniendo sobre todo en cuenta la época actual (o al menos los últimos años). Me gustaría ver que relación tiene la deserción escolar, la depresión y las tasas de suicidio en adolescentes y niños",,": SE ENVÍO POR ""CORREO ELECTRÓNICO"" LA NOTA N° NO-2020-85908906- APN-DGDYD#MJ CON LOS INFORMES DEL PROGRAMA LAS VÍCTIMAS CONTRA LAS VIOLENCIAS, LA JEFATURA DE GABINETE DE MINISTROS Y EL MINISTERIO DE SEGURIDAD DE LA NACIÓN. ",Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-10
EX-2020-68129327-APN-DNAIP#AAIP,2020-11-17,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"solicitarles información acerca de los dominios de automotores en circulación al día de la fecha. A tal fin, mucho agradecería obtener un listado que incluya dominio y Registro Automotor al que se corresponde cada vehículo autorizado a circular al día de la fecha. Aclaro desde ya que no tengo interés en contar con identificación de titulares o propietarios de vehículos, datos personales de ninguna persona física ni jurídica ni ninguna otra información sensible sino solamente la información descripta relativa a los vehículos en circulación.",,Se notifico por TAD la NO-2021-00530654-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el IF-2021-00406552-APNDNRNPACP#MJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-05
EX-2020-79851213-APN-DNAIP#AAIP,2020-11-18,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,información estadística sobre características de la población carcelaria en el momento actual: 1. Número de personas en cárceles por sexo/identificación de género y nacionalidad. 2. Número de varones en cárceles federales por nacionalidad y grupos de edad. 3. Número de mujeres en cárceles federales por nacionalidad y grupos de edad. 4. Número de personas travestis/trans en cárceles federales por nacionalidad y grupos de edad. 5. Número de varones en cárceles federales por nacionalidad y tiempo (en meses) de detención. 6. Número de mujeres en cárceles federales por nacionalidad y tiempo (en meses) de detención. 7. Número de personas travestis/trans en cárceles federales por nacionalidad y tiempo (en meses) de detención. 8. Número de varones en cárceles federales por nacionalidad y tipo de delito. 9. Número de mujeres en cárceles federales por nacionalidad y tipo de delito. 10. Número de personas travestis/trans en cárceles federales por nacionalidad y tipo de delito. 11. Número de varones en cárceles federales por nacionalidad según condena firme o imputados. 12. Número de mujeres en cárceles federales por nacionalidad según condena firme o imputadas. 13. Número de personas travestis/trans en cárceles federales por nacionalidad según condena firme o imputadas. 14. Número de varones en cárceles federales por nacionalidad según lugar de la detención. 15. Número de mujeres en cárceles federales por nacionalidad según lugar de la detención. 16. Número de personas travestis/trans en cárceles federales por nacionalidad según lugar de la detención.,,Se notifico por TAD la NO-2020-83344644-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DEL SERVICIO PENITENCIARIO FEDERAL enNO-2020-83021966-APNDSG# SPF y estadisticas de página web del PORTAL DE DATOS ABIERTOS DE LA JUSTICIA ARGENTINA,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-01
EX-2020-80306838-APN-DNAIP#AAIP,2020-11-19,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Se solicita copia del dictamen producido por el CONSEJO CONSULTIVO PARA EL FORTALECIMIENTO DEL PODER JUDICIAL Y DEL MINISTERIO PÚBLICO creado por el decreto 635/2020,,SE ENVIO POR TAD LA NOTA N° NO-2020-91357967-APN-DGDYD#MJ CON EL INFORME DE LA SUBSECRETARÍA DE RELACIONES CON EL PODER JUDICIAL Y LA COMUNIDAD ACADÉMICA (NO-2020-91215191-APN-SSRPJYCA#MJ e INLEG-2020-91345130-APN-DGDYD#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-29
EX-2020-80470165-APN-DNAIP#AAIP,2020-11-20,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Es por tales motivos que le requiero, por intermedio del Organismo a su cargo, me permita en copia en papel o electrónica de todo lo actuado con relación a las denuncias formuladas por mí y que dieran lugar al: S04:31631/2016 (M.J y D.H.), y las actuaciones que dieran lugar mis denuncias Nº 5020/2017 y 239/2020, ante el Departamento de Asuntos Internos de la mencionada Repartición",,"SE ENVÍO POR ""CORREO ELECTRÓNICO"" LA NOTA N° NO-2021-03136449- APN-DGDYD#MJ CON LA RESOLUCIÓN N° RESOL-2021-1-APN-SGJYDH#MJ Y LOS INFORMES DEL SERVICIO PENITENCIARIO FEDERAL",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-13
EX-2020-82880650-APN-DNAIP#AAIP,2020-11-30,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,Constancia de Consulta del Expediente: EX-2020-71984784- -APN-DNAIP#AAIP. Solicito la descripción de los gastos generales realizados en el Plan Proyecto Humanitario de Identificación de soldados NN,,Se notifico por TAD la NO-2021-02834121-APN-DGDYD#MJ con lo informado por la DIRECCIÓN DE PROGRAMACIÓN Y CONTROL PRESUPUESTARIO en el IF-2021-02613135-APNDPYCP# MJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-12
EX-2020-82618606-APN-DNAIP#AAIP,2020-11-30,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,solicitamos remita la siguiente información sobre los contratos con entes privados para el desarrollo de vacunas contra COVID-19,,Se notifico por TAD la NO-2020-83087376-APN-DGDYD#MJ con la derivacion al M. de Salud de la solicitud,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-11-30
EX-2020-83517363-APN-DGDYD#MJ,2020-12-01,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"solicitar diversas aclaraciones respecto de especificaciones, contraindicaciones y diversas cuestiones técnicas de la vacuna Sputnik-V, procedente de Rusia",,Se notifico por correo electronico la NO-2020-83777907-APN-DGDYD#MJ  con la derivacion al M. de Salud de la solicitud,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-02
EX-2020-83645536-APN-DNAIP#AAIP,2020-12-02,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,estadística sobre características de la población en cárceles provinciales en el momento actual: 1. Número de personas en cárceles provinciales por sexo/identificación de género y nacionalidad. 2. Número de varones en cárceles provinciales por nacionalidad y grupos de edad. 3. Número de mujeres en cárceles provinciales por nacionalidad y grupos de edad. 4. Número de personas travestis/trans en cárceles provinciales por nacionalidad y grupos de edad. 5. Número de varones en cárceles provinciales por nacionalidad y tiempo (en meses) de detención. 6. Número de mujeres en cárceles provinciales por nacionalidad y tiempo (en meses) de detención. 7. Número de personas travestis/trans en cárceles provinciales por nacionalidad y tiempo (en meses) de detención. 8. Número de varones en cárceles provinciales por nacionalidad y tipo de delito. 9. Número de mujeres en cárceles por nacionalidad y tipo de delito. 10. Número de personas travestis/trans en cárceles provinciales por nacionalidad y tipo de delito. 11. Número de varones en cárceles provinciales por nacionalidad según condena firme o imputados. 12. Número de mujeres en cárceles provinciales por nacionalidad según condena firme o imputadas. 13. Número de personas travestis/trans en cárceles provinciales por nacionalidad según condena firme o imputadas. 14. Número de varones en cárceles provinciales por nacionalidad según provincia de la detención. 15. Número de mujeres en cárceles provinciales por nacionalidad según provincia de la detención. 16. Número de personas travestis/trans en cárceles provinciales por nacionalidad según provincia de la detención.,,Se notifico por TAD la NO-2020-86267836-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE POLÍTICA CRIMINAL EN MATERIA DE JUSTICIA Y LEGISLACIÓN PENAL en NO-2020-84849781-APN-DNPCMJYLP#MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-11
EX-2020-84773359-APN-DGDYD#MJ,2020-12-03,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Femenino,"Mi tema es Gestación por Sustución [Sustitución] y necesitaría saber si puedo obtener en algún sio [sitio] la estadísca [estadística] de cuántos fallos hubo en el país en torno a la prácca [práctica] (ya sea de impugnación de la filiación, de autorización o similares).",,Se envio correo electronico con la Nota Nº NO-2020-88049954-APN-DGDYD#MJ con lo informado por la DIRECCIÓN NACIONAL DEL SISTEMA ARGENTINO DE INFORMACIÓN JURÍDICA ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-17
EX-2020-85039339-APN-DNAIP#AAIP,2020-12-07,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Por medio de la presente y teniendo en cuenta que no lo pude advertir en su sitio web solicito se me informe si hay una dirección de correo electrónico para diligenciar oficios judiciales,, SE ENVÍO POR TAD LA NOTA N° NO-2020-85301645-APN-DGDYD#MJ CON LA INFORMACIÓN SOLICITADA. ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-09
EX-2020-84314346-APN-CGD#SGP,2020-12-03,SECRETARIA GENERAL DE LA PRESIDENCIA,Masculino,"1. Requerimiento al señor presidente de la República Argentina, en su carácter de Comandante en Jefe de las Fuerzas Armadas, tal como lo establece el art. 99 inciso 12, de la Constitución, que disponga de todos los medios a su alcance para la ubicación de la totalidad de los archivos de la dictadura genocida, incluido el accionar represivo durante los años 74 y 75. 2. Apertura inmediata de los mismos, con carácter público y universal, para que puedan ser consultados sin ningún tipo de restricciones. 3. En caso negativo, indique los motivos por los cuales se deniega nuestra petición.",,Se notifico por correo electronico la NO-2020-91251391-APN-DGDYD#MJ con lo informado por la SECRETARÍA DE DERECHOS HUMANOS en la PV-2020-90897937-APN-SDDHH#MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-29
EX-2020-85344198-APN-DNAIP#AAIP,2020-12-09,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Estimados, quisiera saber si me pueden facilitar los siguientes datos en formato Excel (de ser posible): - % o cantidad total de trámites presentados por Mandatarios del Automotor y por particulares, para los años 2015, 2016,2017,2018,2019,2020. - % o cantidad total de trámites presentados en cada uno de los registros seccionales de todo el país o en su defecto para la Ciudad Autónoma de Buenos Aires. - % o cantidad total de trámites según su tipo (Transferencia, inscripción inicial, denuncia de venta, denuncia de compra, duplicados etc.) - % o cantidad total de trámites presentados según se trate de registros de automotores, motovehículos y /o maquinaría agricola.”.",,Se notifico por TAD el ME-2020-90664059-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el IF-2020-88987867-APNDNRNPACP#MJ y ME-2020-88305171-APNDNRNPACP# MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-28
EX-2020-85981126-APN-DNAIP#AAIP,2020-12-10,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Automotores patentados en Tierra del Fuego desde el año 2001 a la fecha, discriminados por año y modelo",,Se notifico por TAD la NO-2020-90783008-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el IF-2020-89635191-APNDNRNPACP#MJ y el ME-2020-87944035- APN-DNRNPACP#M,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-28
EX-2020-86952857-APN-DNAIP#AAIP,2020-12-14,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"En el marco de dicho proyecto les solicito la información que se detalla a continuación relativa a tres organismos que funcionaron y/o funcionan en la órbita del Ministerio de Justicia y Derechos Humanos de la Nación: a) Del Centro de Asistencia a las Víctimas de Delitos (CENAVID): Organigrama, autoridades y personal (incluyendo CV de cada funcionario/a) y asignación presupuestaria del organismo para 2017, 2018, 2019 y 2020. b) Del Observatorio de Víctimas de Delitos: Organigrama, autoridades y personal (incluyendo CV de cada funcionario/a) y asignación presupuestaria del organismo para 2017, 2018, 2019 y 2020. c) Del Programa nacional de lucha contra la impunidad (PRONALCI): Organigrama, autoridades y personal (incluyendo CV de cada funcionario/a) y asignación presupuestaria del organismo para 2004-2020",,"Se notifico por TAD la NO-2021-08061093-APN-DGDYD#MJ con lo informado por CENAVID, PRONALCI , DIRECCIÓN GENERAL DE RECURSOS HUMANOS y DIRECCIÓN DE PROGRAMACIÓN Y CONTROL PRESUPUESTARIO",Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2021-01-29
EX-2020-87044942-APN-DGDYD#MJ,2020-12-14,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Escribo para solicitar los datos de inscripciones iniciales de autos anteriores al año 2018. Encontré en la página de Datos Abiertos una muy completa información y quisiera poder complementarla con datos históricos,,Se notifico por correo electrónico la NO-2020-90878151-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el IF-2020-89633625-APNDNRNPACP#MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2020-12-29
EX-2020-90713965-APN-DSG#SPF,2020-12-14,Servicio Penitenciario Federal,Masculino,"Copia digital[1] de los Memorandos de la DIRECCIÓN NACIONAL y de la DIRECCIÓN DE SECRETARIA GENERAL relativos a los siguientes temas: Bullying, maltrato psicológico deliberado y hostigamiento, utilización e implementación de los sistemas de gestión y seguimiento de expedientes SIE, COMDOC y GDE, presuntos abandonos de servicio e inasistencias del personal del SPF, cambios de guardia, y dirección, control y fiscalización de plazos de los procedimientos administrativos dentro de la órbita del SPF en el período 2010 – 2020. Sobre este último tema, con intervención de la División Mesa General de Entradas, Salidas y Archivos, se sirva remitir copia digital de toda norma jurídica o directiva interna sobre control de los plazos que rigen en las diferentes intervenciones administrativas (evacuación de informes, pases de mero trámite, elaboración de dictámenes, etc).",,": SE ENVÍO POR ""CORREO ELECTRÓNICO"" LA NOTA N° NO-2021-09219823- APN-DGDYD#MJ CON LA RESOLUCIÓN N° RESOL-2021-3-APN-SGJYDH#MJ Y LOS INFORMES DEL SERVICIO PENITENCIARIO FEDERAL. ",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-02-02
EX-2020-87550459-APN-DNAIP#AAIP,2020-12-16,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Solicito conocer los datos de la entidad a la cual se le otorgó la Personería Jurídica n° 000071. Nombre de la entidad, domicilio, dirigentes o directiva registrada",,Se notifico por TAD la NO-2021-03964413-APN-DGDYD#MJ con lo informado por la DIRECCIÓN DEL REGISTRO NACIONAL DE SOCIEDAD de la INSPECCIÓN GENERAL DE JUSTICIA en el IF-2021-03728173-APN-DRNS#IGJ.,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-15
EX-2020-88108721-APN-DGDYD#MJ,2020-12-17,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"Me gustaría saber si el Ministerio de Justicia de Argentina tiene algunas estadísticas o estimaciones acerca de denuncias de abuso de menores de edad antes y después de la pandemia en Argentina . Me encuentro colaborando en una investigación regional acerca del tema, y nos interesa mucho saber si Argentina tiene algún registro al respecto",,"Se notifico por correo electrónico la NO-2021-01199661-APN-DGDYD#MJ con lo informado por distintas áreas de este Ministerio y los M. de Salud, Seguridad y DE LAS MUJERES, GÉNEROS Y DIVERSIDAD",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-06
EX-2020-89588472-APN-DNAIP#AAIP,2020-12-22,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Solicito del Registro Nacional de Datos Geneticos la cantidad de condenas firmes sobre abuso sexual en los ultimos años,,"Se notifico por TAD la NO-2021-02814519-APN-DGDYD#MJ con los informes DIRECCIÓN DEL REGISTRO NACIONAL DE DATOS GENÉTICOS VINCULADOS A DELITOS CONTRA LA INTEGRIDAD SEXUAL, SPF y POLÍTICA CRIMINAL EN MATERIA DE JUSTICIA Y LEGISLACIÓN PENAL",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-12
EX-2020-90012069-APN-DNAIP#AAIP,2020-12-23,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Siendo que de la Providencia PV-2020-13680645-APN-DSC#IGJ (emitida en el marco del EX2020- 12292918-APN-DNAIP#AAIP) surge la falta de presentación por parte de NORWALK S.A. CUIT 30-63838954- 8 del estado contable/ balance con fecha de cierre de ejercicio 31/12/2018, informándose que el Departamento Contable de Sociedades Comerciales intimó a la sociedad NORWALK S.A. para que presente los estados contables adeudados, por medio del presente se solicita la siguiente información pública en los términos de la Ley 27.275 y normativa concordante y complementaria: Si NORWALK S.A. CUIT 30-63838954-8 ha presentado los estados contables adeudados con fecha de cierre de ejercicio 31/12/2018 y 31/12/2019",,Se notifico por TAD la NO-2021-04998574-APN-DGDYD#MJ con lo informado por DIRECCIÓN DEL REGISTRO NACIONAL DE SOCIEDAD en el Informe IF-2021-04743165-APNDRNS# IGJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-19
EX-2020-90017329-APN-DNAIP#AAIP,2020-12-23,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Nos dirigimos a usted a fin de SOLICITAR información pertinente a los programas y proyectos que vuestra administración ejecuta y que fueran surgidos como respuesta del estado a las recomendaciones indicadas por los Comités de CEDAW (2016) 1 y DESC (2018) 2 respectivamente sobre los temas de acceso a la justicia y violencia de género de las mujeres rurales e indígenas. Para aclarar mejor nuestra solicitud anexamos las mismas. Recomendación 12. D (CEDAW): Garantice que la información sobre los recursos jurídicos esté a disposición de las mujeres víctimas de violencia por razón de género, entre otras cosas en idiomas indígenas y en formatos accesibles para las mujeres con discapacidad; Recomendación 12.E (CEDAW): Ponga en marcha un sistema de tribunales móviles, destinado a facilitar que las mujeres que viven en las zonas rurales y apartadas tengan acceso a la justicia; Recomendación 21.A (CEDAW): Asigne recursos presupuestarios adecuados para la aplicación eficaz del Plan Nacional de Acción para la Prevención, Asistencia y Erradicación de la Violencia contra las Mujeres (2017- 2019); Recomendación 21. B (CEDAW) : Mejore la prevención de los feminicidios y asegure la investigación, el enjuiciamiento y la condena de los autores de feminicidios; Recomendación 40. D (DESC): Garantizar la plena protección a las mujeres, incluyendo refugios y casas de acogida, que sean aptos para recibir a las mujeres víctimas y a sus hijo",,"Se notifico por TAD la NO-2021-07956020-APN-DGDYD#MJ con lo informado por SDDHH#MJ, INAI#MJ, DNAV#MJ y Ministerio de Seguridad, Mujeres Genero y Diversida, Jefatura de Gabinete de Ministros y Agencia Nacional de Discapacidad.",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-28
EX-2020-90917993-APN-DNAIP#AAIP,2020-12-28,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Se solicita a la Inspección General de Justicia (IGJ) nos brinde la nómina completa de Resoluciones emitidas por el Control Federal de Ahorro, desde el año 2016 hasta el día de contestación del presente requerimiento. Se solicita además que nos brinden el contenido de cada Resolución",,Se notifico por TAD la NO-2021-05252289-APN-DGDYD#MJ con lo informado por DIRECCIÓN DEL REGISTRO NACIONAL DE SOCIEDAD en IF-2021-04748287-APN-DRNS#IGJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-20
EX-2020-91630135-APN-DNAIP#AAIP,2020-12-30,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Solicito información sobre medidas, disposiciones, que haya tomado el Estado Nacional argentino a favor de la familia de Luis Espinoza, tucumano, asesinado en mayo de 2019 por la policía de Tucumán. ¿El Estado Nacional ha otorgado alguna reparación económica para la familia de Luis Espinoza? ¿Qué medidas ha dispuesto la secretaría de Derechos Humanos que depende del Ministerio de Justicia, en relación a este caso",,"Se notifico por TAD la NO-2021-04879150-APN-DGDYD#MJ con lo informado por la SECRETARÍA DE DERECHOS HUMANOS, DIRECCIÓN NACIONAL DE POLÍTICAS CONTRA LA VIOLENCIA INSTITUCIONAL, SUBSECRETARÍA DE ACCESO A LA JUSTICIA y PRONALCI",Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-19
EX-2021-00179085-APN-DNAIP#AAIP,2021-01-03,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Quiero que se me informe en los periodos 2020, 2019, 2018 cuantos vehiculos artesanales se patentaron y se encuentran en condiciones de circular",,Se notifico por TAD la NO-2021-04495158-APN-DGDYD#MJ con lo informado por DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS en el Informe N° IF2021-04037365-APN-DNRNPACP#MJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-18
EX-2021-01107778-APN-DNAIP#AAIP,2021-01-06,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Por EX-2021-00907545-APN-DA#IGJ solicité y aboné el balance correspondiente a la sociedad AEQUALIS S.A. CUIT 30-69101504-8 con fecha de cierre 28-2-20, siéndome informado que el mismo no fue presentado por la sociedad. Por lo expuesto y en los términos de la Ley 27.275 y normativa concordante y complementaria, se solicita la siguiente información pública: 1) Si la sociedad AEQUALIS S.A. CUIT 30-69101504-8 se encuentra obligada a presentar el balance con fecha de cierre de ejercicio 28-2-20; 2) Cuál es el plazo para presentar el balance con fecha de cierre de ejercicio 28-2-20 por parte de AEQUALIS S.A. CUIT 30-69101504-8; 3) Si se ha intimado a la sociedad AEQUALIS S.A. CUIT 30-69101504-8 a presentar el balance con fecha de cierre de ejercicio 28-2-20; 4) Siendo que aboné el monto correspondiente a una copia de un balance que no fue presentado (fecha de cierre de ejercicio 28-2-20), qué ocurre con el importe abonado y cuales son los mecanismos previsto por la IGJ para reclamar el reintegro del mismo",,Se notifico por TAD la NO-2021-06543244-APN-DGDYD#MJ con lo informado por la DIRECCIÓN DEL REGISTRO NACIONAL DE SOCIEDAD de la INSPECCIÓN GENERAL DE JUSTICIA en el IF-2021-06212212-APN-DRNS#IGJ,Silvia Mabel Parenti - Suplente Responsable Acceso a la Informacion Publica ,2021-01-25
EX-2021-01635218-APN-DNAIP#AAIP,2021-01-07,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Si obra en sus archivos físicos documentación que cuente con escritura manuscrita y/o firma ológrafa de agentes, funcionarios y/o ciudadanos. Si dichos archivos, ¿Cuentan con documentación original del 2016 en adelante? ¿Cuál es el protocolo que siguen en virtud a la guarda y digitalización de los mismos? Con relación a los procesos de digitalización, ¿Cuál fue el protocolo adoptado? ¿Qué características presentan los documentos respecto de la calidad, resolución y almacenamiento?",,"SE ENVÍO POR ""TAD"" LA NOTA N° NO-2021-14313524-APN-DGDYD#MJ CON LAS RESPUESTAS DE DIVERSOS ORGANISMOS.",Silvia Esther Barneda - Responsable de Acceso a la Informacion Publica ,2021-02-22
EX-2021-02385324-APN-DNAIP#AAIP,2021-01-11,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Tengo el agrado de dirigirme a Usted, en el marco de la Ley Nacional de Acceso a la Información Pública 27.275, a efectos de solicitar la siguiente información relativa a competencias propias de su cartera ministerial: ¿¿Cuáles son los antecedentes de trabajo en materia de Empresas y Derechos Humanos que registra su cartera en el período 2010- 2020? ¿¿Cuál es el estado de los compromisos asumidos en materia de Derechos Humanos por parte del Estado Nacional, en lo atinente a la regulación de la actividad empresaria? ¿Organización administrativa de la Administración Pública Nacional, en lo que compete al Ministerio de Justicia y Derechos Humanos de la Nación: ¿¿Qué áreas de gestión han tenido en el período 2010-2020, la responsabilidad de trabajo en materia de ""Empresas y Derechos Humanos""? ¿¿Qué área de gestión tiene en la actualidad la responsabilidad de trabajo en materia de ""Empresas y Derechos Humanos""? ¿¿En qué estado se encuentra el compromiso asumido por el Estado argentino respecto del Plan Nacional de Acción en Empresas y Derechos Humanos? ¿¿Cuáles son los compromisos asumidos por su cartera en materia de Desarrollo Sustentable? ¿Se solicitan los reportes presentados por la cartera del Ministerio de Justicia de la Nación en relación a la Agenda 2030 desde que se comenzó a reportar hasta la actualidad. La información aquí solicitada será utilizada con fines académicos, siendo la firmante, investigadora en formación del proyecto ""Empresas y Derechos Humanos"", acreditado bajo la programación científica de la Universidad de Flores. Nos encontramos estudiando la política exterior argentina de la última década, con recorte epistémico en el tema de referencia y proponemos un estudio cruzado con la política de Desarrollo Sustentable que Argentina adoptó a partir de la Agenda 2030 de las Naciones Unidas.",,SE ENVÍO POR TAD LA NOTA N° NO-2021-16626176-APN-DGDYD#MJ CON EL INFORME DE LA SECRETARÍA DE DERECHOS HUMANOS (PV-2021-09085047-APN-SDDHH#MJ) Y ANTECEDENTES DE PEDIDOS SIMILARES. ,Silvia Esther Barneda - Responsable de Acceso a la Informacion Publica ,2021-02-24
EX-2021-02123993-APN-DNAIP#AAIP,2021-01-08,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino," ¿Cuáles son los antecedentes de trabajo en materia de Empresas y Derechos Humanos que registra su cartera en el período 2010-2020?  ¿Cuál es el estado de los compromisos asumidos en materia de Derechos Humanos por parte del Estado Nacional, en lo atinente a la regulación de la actividad empresaria?  Organización administrativa de la Administración Pública Nacional, en lo que compete al Ministerio de Justicia y Derechos Humanos de la Nación: - ¿Qué áreas de gestión han tenido en el período 2010-2020, la responsabilidad de trabajo en materia de ""Empresas y Derechos Humanos""? - ¿Qué área de gestión tiene en la actualidad la responsabilidad de trabajo en materia de ""Empresas y Derechos Humanos""?  ¿En qué estado se encuentra el compromiso asumido por el Estado argentino respecto del Plan Nacional de Acción en Empresas y Derechos Humanos?  ¿Cuáles son los compromisos asumidos por su cartera en materia de Desarrollo Sustentable?  Se solicitan los reportes presentados por la cartera del Ministerio de Justicia de la Nación en relación a la Agenda 2030 desde que se comenzó a reportar hasta la actualidad. La información aquí solicitada será utilizada con fines académicos, siendo la firmante, investigadora en formación del proyecto ""Empresas y Derechos Humanos"", acreditado bajo la programación científica de la Universidad de Flores. Nos encontramos estudiando la política exterior argentina de la última década, con recorte epistémico en el tema de referencia y proponemos un estudio cruzado con la política de Desarrollo Sustentable que Argentina adoptó a partir de la Agenda 2030 de las Naciones Unidas.",,SE ENVÍO POR TAD LA NOTA N° NO-2021-16626835-APN-DGDYD#MJ CON EL INFORME DE LA SECRETARÍA DE DERECHOS HUMANOS (PV-2021-09084849-APN-SDDHH#MJ) Y ANTECEDENTES DE PEDIDOS SIMILARES,Silvia Esther Barneda - Responsable de Acceso a la Informacion Publica ,2021-02-24
